"LHS","RHS","support","confidence","lift","count"
"xb=男,sx=优,wy=优,wl=优,hx=优,sw=优 "," wlfk=理科",0.072258064516129,0.918032786885246,1.86738952712878,56
"xb=男,sx=优,ls=优,wl=优,hx=优,sw=优 "," wlfk=理科",0.0864516129032258,0.917808219178082,1.86693272929925,67
"xb=男,sx=优,dl=优,wl=优,hx=优,sw=优 "," wlfk=理科",0.0993548387096774,0.916666666666667,1.86461067366579,77
"xb=男,dl=优,wl=优,hx=优,sw=优 "," wlfk=理科",0.108387096774194,0.91304347826087,1.85724067100308,84
"xb=男,sx=优,wl=优,hx=优,sw=优 "," wlfk=理科",0.0993548387096774,0.905882352941176,1.84267407750502,77
"xb=男,wy=优,wl=优,hx=优,sw=优 "," wlfk=理科",0.0735483870967742,0.904761904761905,1.84039495063117,57
"xb=男,ls=优,wl=优,hx=优,sw=优 "," wlfk=理科",0.0929032258064516,0.9,1.83070866141732,72
"xb=男,sx=优,wy=优,wl=优,hx=优 "," wlfk=理科",0.0774193548387097,0.895522388059702,1.82160065812669,60
"xb=男,sx=优,dl=优,wl=优,sw=优 "," wlfk=理科",0.0993548387096774,0.895348837209302,1.82124763474333,77
"xb=男,wl=优,hx=优,sw=优 "," wlfk=理科",0.108387096774194,0.893617021276596,1.81772491204557,84
"xb=男,dl=优,wl=优,sw=优 "," wlfk=理科",0.108387096774194,0.893617021276596,1.81772491204557,84
"xb=男,sx=优,dl=优,wl=优,hx=优 "," wlfk=理科",0.108387096774194,0.893617021276596,1.81772491204557,84
"xb=男,sx=优,ls=优,wl=优,sw=优 "," wlfk=理科",0.0864516129032258,0.893333333333333,1.81714785651794,67
"xb=男,yw=优,hx=优,sw=优 "," wlfk=理科",0.0645161290322581,0.892857142857143,1.81617922759655,50
"xb=男,sx=优,wy=优,wl=优,sw=优 "," wlfk=理科",0.072258064516129,0.888888888888889,1.80810731991834,56
"xb=男,sx=优,wl=优,hx=优 "," wlfk=理科",0.110967741935484,0.88659793814433,1.80344724950618,86
"xb=男,sx=优,wl=优,sw=优 "," wlfk=理科",0.0993548387096774,0.885057471264368,1.80031375388421,77
"xb=男,sx=优,wy=优,hx=优,sw=优 "," wlfk=理科",0.0864516129032258,0.881578947368421,1.79323801630059,67
"xb=男,ls=优,wl=优,sw=优 "," wlfk=理科",0.0929032258064516,0.878048780487805,1.78605723065105,72
"xb=男,yw=优,sw=优 "," wlfk=理科",0.0645161290322581,0.87719298245614,1.78431643412994,50
"xb=男,sx=优,dl=优,hx=优,sw=优 "," wlfk=理科",0.129032258064516,0.87719298245614,1.78431643412994,100
"xb=男,wy=优,wl=优,sw=优 "," wlfk=理科",0.0735483870967742,0.876923076923077,1.78376741368867,57
"xb=男,sx=优,hx=优,sw=优 "," wlfk=理科",0.136774193548387,0.87603305785124,1.78195700744019,106
"xb=男,wl=优,sw=优 "," wlfk=理科",0.108387096774194,0.875,1.77985564304462,84
"xb=男,wy=优,zz=优,wl=优,hx=优 "," wlfk=理科",0.072258064516129,0.875,1.77985564304462,56
"xb=女,zz=优,ls=优,dl=优,sw=良 "," wlfk=文科",0.072258064516129,0.903225806451613,1.77664974619289,56
"xb=男,dl=优,wl=优,hx=优 "," wlfk=理科",0.123870967741935,0.872727272727273,1.77523264137437,96
